test_id	feature_type	primer	n_features	rank_correlation
ENSMUSG00000029004.16:B1	exon	random hexamer	1	0.49999999999999994
ENSMUSG00000029108.15:B1	exon	random hexamer	1	1.0
ENSMUSG00000029245.17:B1	exon	random hexamer	1	-0.5
ENSMUSG00000029406.16:B1	exon	random hexamer	4	0.5118033988749895
ENSMUSG00000029406.16:B1	junction	random hexamer	3	0.3333333333333333
ENSMUSG00000029420.15:B3	exon	random hexamer	3	0.8333333333333331
ENSMUSG00000029420.15:B3	junction	random hexamer	2	0.6999999999999998
ENSMUSG00000029420.15:B6	exon	poly(dT)	1	0.7
ENSMUSG00000029461.18:B1	exon	random hexamer	3	0.09999999999999999
ENSMUSG00000029461.18:B1	junction	random hexamer	3	0.5428587290978898
ENSMUSG00000029467.16:B1	exon	random hexamer	1	0.49999999999999994
ENSMUSG00000029478.17:B2	exon	random hexamer	1	-0.14285714285714288
ENSMUSG00000029478.17:B2	junction	random hexamer	2	0.017857142857142835
ENSMUSG00000029478.17:B6	exon	random hexamer	2	-0.7999999999999999
ENSMUSG00000029505.18:B1	exon	random hexamer	1	0.0
ENSMUSG00000029505.18:B2	exon	random hexamer	1	0.0
ENSMUSG00000029505.18:B2	junction	random hexamer	3	-0.37847006554165613
ENSMUSG00000029505.18:B3	exon	random hexamer	1	0.7
ENSMUSG00000029505.18:B3	junction	random hexamer	3	0.6
ENSMUSG00000029505.18:B4	exon	random hexamer	5	0.4814213562373094
ENSMUSG00000029505.18:B4	junction	random hexamer	4	-0.11672148221383755
ENSMUSG00000029673.20:B1	exon	poly(dT)	6	0.7666666666666666
ENSMUSG00000029673.20:B1	exon	random hexamer	6	0.7714285714285715
ENSMUSG00000029673.20:B1	junction	poly(dT)	6	0.7999999999999999
ENSMUSG00000029673.20:B1	junction	random hexamer	6	0.7904761904761904
ENSMUSG00000029673.20:B3	exon	random hexamer	1	-0.7999999999999999
ENSMUSG00000029673.20:B3	junction	random hexamer	3	-0.18060037008427965
ENSMUSG00000030000.11:B1	exon	random hexamer	5	-0.1794733192202055
ENSMUSG00000030000.11:B1	junction	random hexamer	1	0.6000000000000001
ENSMUSG00000030058.18:B1	exon	random hexamer	1	-0.5
ENSMUSG00000030102.12:B1	exon	random hexamer	1	0.3
ENSMUSG00000030134.12:B2	exon	random hexamer	1	-0.5
ENSMUSG00000030134.12:B2	junction	random hexamer	1	-0.5
ENSMUSG00000030231.12:B1	exon	poly(dT)	4	0.5
ENSMUSG00000030231.12:B1	exon	random hexamer	4	0.0
ENSMUSG00000030231.12:B1	junction	poly(dT)	3	0.8333333333333334
ENSMUSG00000030231.12:B1	junction	random hexamer	3	-0.39999999999999997
